pair,2023,2024,2025,2026,2027,2028,2029,2030,2031
K_LE,4.527479887214747,1824.4582244599276,2117.29838244065,2304.8946037659584,2492.205032942207,2686.57266993667,2866.908267492527,3054.2178384367594,35.53492595465739
K_LF,99.25973130705947,42263.25417853379,42515.71122382513,43752.285113539045,45048.5105738716,46013.80183724636,47649.021217798545,48011.466503201395,614.1678171177475
K_LI,42.11939860303398,24658.55022153514,25689.499733998447,26675.77704954575,27923.21175685384,29070.568643255043,30534.19323321727,32085.155682170403,360.1705126187734
K_LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_LS,35.325098987274366,14215.526443731249,14583.070889819604,14652.56261640991,15808.548484532921,15952.940621353931,17214.83281588909,17547.649645115216,237.53581472842995
K_MS,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
K_O,22.166524381047875,8181.107859952918,9112.865854060117,9823.943538402847,10671.01507237699,11575.363343359653,12304.885531508487,12675.817496590018,176.43852330191524
K_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Y,1.6362291035142242,499.12883784875555,529.6032353556641,580.920361481204,632.4041537316602,685.670759733424,735.3452816821732,786.4957481962177,10.982278118898673
K_Z,2.1992884246345485,1050.3639622431351,1261.5007685065502,1405.8198891718855,1551.138909944715,1701.5662177318343,1841.4589805225673,1986.7779903305893,26.64739909385125
LE_LE,8.049346658461515,3386.158180564351,3853.7261532489447,4297.313528087799,4738.044148494472,5190.63519397606,5621.140414742329,6063.442370605655,77.65934765349392
LE_LF,277.921740748784,117596.65871257581,121298.76813026083,124417.99620430065,129069.12362072944,132976.83307659166,135943.08033476945,138222.18494546265,1664.2752109529954
LE_LI,289.735603755348,119344.49191115766,128640.29860971333,136850.18859841157,146815.550657324,154997.85597474547,161666.55807903214,169364.8896605524,2217.7252523567204
LE_LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LE_LS,111.67149388697473,38531.33723268283,38929.67720800571,39125.57921589073,40148.87258723503,40688.24129834135,41327.5392715445,42597.99460729734,537.9380720492611
LE_MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LE_O,24.338257639919977,9857.775056536166,11066.55653199884,12591.629415012701,14201.704140923974,15431.349983886157,16468.731610669918,16798.427105897586,232.75619537063903
LE_U,0.046239499258746264,-440.1576859035205,475.364388879109,381.02770419071754,574.5016303120034,93.46737759865827,-716.4812185890327,-3430.682496067804,-70.62583862256145
LE_Y,-0.01799774305677218,2.336638464126788,-24.120458895764745,-47.286253283005905,-70.41649100431161,-93.96985995331039,-116.81069032019388,-140.00041041438516,-2.3663242875746446
LE_Z,10.790070193612936,4805.156169057769,5809.993274132341,6532.842768401819,7241.795615199871,7915.23201947824,8463.078280536909,8433.697551345484,114.10137026548531
LF_LF,435.41381686594656,310999.6603577083,302038.038262681,295933.12073682505,288075.0663259272,279870.73994887597,271398.1614456207,264269.82861002884,2407.422526943201
LF_LI,258.06146598048207,123004.37653964678,127053.08788758496,130939.53293141969,133830.94771836462,137265.57675832266,140875.464285735,143357.2652782554,1705.5140417617877
LF_LP,171.44951837483683,61194.63069467438,63660.197447906125,57014.39769658038,51052.88861587573,44311.384857612386,38541.797426632795,39112.68037561548,518.2618088151548
LF_LS,117.37578042150363,47322.35417258711,45180.940855794615,42628.82319557009,41348.40982620403,39298.469859975616,38000.10262868391,37900.550422016044,436.0578391683679
LF_MS,76.37149754434145,21435.057122916776,21674.99265759633,22080.87176324599,22347.639111160457,22603.51682684978,22742.877201350908,23062.311759892527,394.8742226928256
LF_O,59.607221658826795,23269.865982015646,26354.677810913363,30862.270423791946,35633.086252917055,38823.696994310165,41620.89039116423,41517.4329589269,581.4232868675874
LF_U,17.767291750881704,30.76286023010409,2197.0707817146376,4632.791877774697,6409.364768588244,6764.987953311272,7105.607841637934,4362.919359351434,62.287123318348904
LF_Y,6.264976902528512,2623.6932067369066,2804.892641950576,2942.562998002494,3077.5192700707826,3223.9719079854485,3351.5189193311126,3486.760997404392,50.06406597285152
LF_Z,54.48032872741134,21697.286801137598,22911.397165372422,23377.546252581582,23550.657148233142,23791.41093750876,24046.645300176104,23217.34372970271,324.138423874099
LI_LI,38.11243336224176,17480.092827436332,18161.70571266854,18564.75977628421,18991.22562053966,19739.442156366775,20436.316698115952,21373.9421281536,252.962485752118
LI_LP,56.81453840698914,22553.971552796178,24637.364211648506,23555.13713289011,22718.285421340708,21208.200244282267,19917.980779199388,21299.27149588035,291.33874443647704
LI_LS,23.587891598433746,11576.25867028858,11309.353639931074,10984.637794651617,10748.341212435787,10488.86911050879,10283.01308935916,10349.2907897682,85.95031890363585
LI_MS,12.63999187843893,5579.690300380883,6665.027532926772,7892.311725705081,9124.19596283407,9870.488362648777,10490.763729971106,9948.771965615539,142.07245269243964
LI_O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LI_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LI_Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LI_Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP_LP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP_LS,59.62252678368226,19685.53539467569,20763.760347351188,16740.159027520873,13186.958496360921,9130.335623349156,5978.922917260502,6367.639359080554,108.66781195534409
LP_MS,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
LP_O,1.61626723548655,637.1224595888973,656.452819564667,710.517635926945,764.8681444687314,822.748091721936,875.1470970695236,929.6405280541079,16.854381377979223
LP_U,-0.2659286954238296,-8.883060889207048,-139.78387751405225,-284.48141323574015,-428.6075616129185,-573.4568136095025,-716.6825651655583,-861.3801142532865,-12.271707409025087
LP_Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LP_Z,0.9064032309168202,443.4149055741306,486.2884052532044,519.0936921789524,551.0421679581202,586.1277328561633,616.598918344772,648.6897274868865,9.577120232816881
LS_LS,16.25212274369411,6961.0643845291515,6555.41728588882,5961.785973362437,5790.6154656815215,5233.844579008444,5061.941678143715,4158.231061614464,46.24245831617278
LS_MS,7.367237054585267,2316.2542312989644,2409.6140842032587,2482.0513806319836,2555.0600588629372,2637.0625178053315,2698.7021014943994,2769.567680923706,43.50592863196444
LS_O,16.04055740254943,5514.05561113034,5763.5416702470975,6341.657215509317,7026.112348933495,7386.010032482622,7774.476604901311,7496.005826636058,111.06681508679979
LS_U,5.236229717128061,-462.42501672892405,-338.62961800441855,-495.490825282532,-581.4629836383978,-884.1799675427926,-1140.8555739688925,-1621.1243929283567,1.6926452879884897
LS_Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS_Z,2.7759608611694433,700.8543293289842,734.353777814465,763.3613529261143,788.6546614608988,819.7963123873484,843.4573707870325,869.1791304304815,13.975729249926289
L_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_LE,198.6933893634318,82212.38715176164,88437.56417469129,93989.21302829526,101190.57537035045,107074.23441039318,111470.44367104527,117270.92374582883,1490.833245290682
L_LF,312.2778567589829,128725.39357655183,135343.5451334503,143337.18621375415,150146.55335136832,156427.69450964272,161709.6714028757,165762.61964763142,1969.1202514425313
L_LI,0.3505840066344734,1254.5783360820249,1336.8720889170365,1370.0560442539027,1403.6687229495642,1438.5469668818985,1470.414442598314,1505.1696054580368,10.515478373754794
L_LP,31.39926150430242,12829.278226933353,13573.798989418274,11779.599378145573,10181.324360310735,8301.416411904991,6676.1346936488635,6817.420781424964,79.8539208958669
L_LS,40.74150583440736,16982.903741183556,17354.365511698477,17499.828773131474,18140.737971806026,18246.700503812644,18711.884795613874,19238.41998772815,237.93099981956942
L_MS,7.938977832395158,2655.708588665521,2877.6979569043374,3113.5120069020054,3346.6117214470073,3593.5779351726346,3818.1670862986753,4053.552504160498,61.46239502343801
L_O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_Y,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
L_Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS_MS,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
MS_O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS_U,0.2642609024226029,80.44102199110742,77.92087452113238,75.26497813079845,73.2090931068565,70.78116508157055,67.89006122606303,64.43417380273114,1.267135323328895
MS_Y,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
MS_Z,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
O_O,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
O_U,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
O_Y,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
O_Z,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
U_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Y,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
U_Z,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
Y_Y,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
Y_Z,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
Z_Z,0.000588,0.21520799999999998,0.21462,0.21462,0.21462,0.21520799999999998,0.21462,0.21462,0.00294
